Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2012,251,1,0,"H4","TOTAL",1,,,666675230977,0
2012,251,1,156,"H4","TOTAL",1,,,53458273330,0
2012,276,1,0,"H4","TOTAL",1,,,1161213213460,0
2012,276,1,156,"H4","TOTAL",1,,,102389744886,0
2012,381,1,0,"H4","TOTAL",1,,,489104116138,0
2012,381,1,156,"H4","TOTAL",1,,,32162562492,0
2012,826,1,0,"H4","TOTAL",1,,,689137011265,0
2012,826,1,156,"H4","TOTAL",1,,,56267400219,0
2013,251,1,0,"H4","TOTAL",1,,,671253553277,0
2013,251,1,156,"H4","TOTAL",1,,,54221962983,0
2013,276,1,0,"H4","TOTAL",1,,,1187314563884,0
2013,276,1,156,"H4","TOTAL",1,,,100313472788,0
2013,381,1,0,"H4","TOTAL",1,,,479336353444,0
2013,381,1,156,"H4","TOTAL",1,,,30634044334,0
2013,826,1,0,"H4","TOTAL",1,,,657222527853,0
2013,826,1,156,"H4","TOTAL",1,,,57587864581,0
2014,251,1,0,"H4","TOTAL",1,,,659872076384,0
2014,251,1,156,"H4","TOTAL",1,,,56416479646,0
2014,276,1,0,"H4","TOTAL",1,,,1214955667361,0
2014,276,1,156,"H4","TOTAL",1,,,107593170443,0
2014,381,1,0,"H4","TOTAL",1,,,474082558910,0
2014,381,1,156,"H4","TOTAL",1,,,33305149268,0
2014,826,1,0,"H4","TOTAL",1,,,694344323261,0
2014,826,1,156,"H4","TOTAL",1,,,64147253698,0
2015,251,1,0,"H4","TOTAL",1,,,563398247561,0
2015,251,1,156,"H4","TOTAL",1,,,51871364118,0
2015,276,1,0,"H4","TOTAL",1,,,1057616385859,0
2015,276,1,156,"H4","TOTAL",1,,,103348241759,0
2015,381,1,0,"H4","TOTAL",1,,,410933264465,0
2015,381,1,156,"H4","TOTAL",1,,,31315511423,0
2015,826,1,0,"H4","TOTAL",1,,,630251057548,0
2015,826,1,156,"H4","TOTAL",1,,,62979613764,0
2016,251,1,0,"H4","TOTAL",1,,,560554862702,0
2016,251,1,156,"H4","TOTAL",1,,,51032597789,0
2016,276,1,0,"H4","TOTAL",1,,,1060672017229,0
2016,276,1,156,"H4","TOTAL",1,,,105289752555,0
2016,381,1,0,"H4","TOTAL",1,,,404577979401,0
2016,381,1,156,"H4","TOTAL",1,,,30194170626,0
2016,826,1,0,"H4","TOTAL",1,,,636367936193,0
2016,826,1,156,"H4","TOTAL",1,,,59575883133,0
2007,251,1,0,"H3","TOTAL",1,,,611364435458,0
2007,251,1,156,"H3","TOTAL",1,,,38728291306,0
2007,276,1,0,"H3","TOTAL",1,,,1059307813000,0
2007,276,1,156,"H3","TOTAL",1,,,75047643000,0
2007,381,1,0,"H3","TOTAL",1,,,511822513748,0
2007,381,1,156,"H3","TOTAL",1,,,29713143648,0
2007,826,1,0,"H3","TOTAL",1,,,679917917606,0
2007,826,1,156,"H3","TOTAL",1,,,53227609127,0
2008,251,1,0,"H3","TOTAL",1,,,695004283255,0
2008,251,1,156,"H3","TOTAL",1,,,45461942219,0
2008,276,1,0,"H3","TOTAL",1,,,1204209307000,0
2008,276,1,156,"H3","TOTAL",1,,,86711078000,0
2008,381,1,0,"H3","TOTAL",1,,,560960371006,0
2008,381,1,156,"H3","TOTAL",1,,,34637287879,0
2008,826,1,0,"H3","TOTAL",1,,,705344160844,0
2008,826,1,156,"H3","TOTAL",1,,,58220696064,0
2009,251,1,0,"H3","TOTAL",1,,,540502282883,0
2009,251,1,156,"H3","TOTAL",1,,,41252582746,0
2009,276,1,0,"H3","TOTAL",1,,,938363080000,0
2009,276,1,156,"H3","TOTAL",1,,,77501267000,0
2009,381,1,0,"H3","TOTAL",1,,,414783638344,0
2009,381,1,156,"H3","TOTAL",1,,,26914449801,0
2009,826,1,0,"H3","TOTAL",1,,,552042034589,0
2009,826,1,156,"H3","TOTAL",1,,,52101299293,0
2010,251,1,0,"H3","TOTAL",1,,,599171506084,0
2010,251,1,156,"H3","TOTAL",1,,,48872681511,0
2010,276,1,0,"H3","TOTAL",1,,,1066816751876,0
2010,276,1,156,"H3","TOTAL",1,,,101377132937,0
2010,381,1,0,"H3","TOTAL",1,,,486984371949,0
2010,381,1,156,"H3","TOTAL",1,,,38133067286,0
2010,826,1,0,"H3","TOTAL",1,,,627617523093,0
2010,826,1,156,"H3","TOTAL",1,,,61733671529,0
2011,251,1,0,"H3","TOTAL",1,,,713675253798,0
2011,251,1,156,"H3","TOTAL",1,,,57431105723,0
2011,276,1,0,"H3","TOTAL",1,,,1260297536716,0
2011,276,1,156,"H3","TOTAL",1,,,112184062343,0
2011,381,1,0,"H3","TOTAL",1,,,558831981537,0
2011,381,1,156,"H3","TOTAL",1,,,41131342218,0
2011,826,1,0,"H3","TOTAL",1,,,717606233152,0
2011,826,1,156,"H3","TOTAL",1,,,66039713607,0
2002,251,1,0,"H2","TOTAL",1,,,303831441914,0
2002,251,1,156,"H2","TOTAL",1,,,10693297424,0
2003,251,1,0,"H2","TOTAL",1,,,362517303508,0
2003,251,1,156,"H2","TOTAL",1,,,15035689166,0
2004,251,1,0,"H2","TOTAL",1,,,434241852984,0
2004,251,1,156,"H2","TOTAL",1,,,20519901612,0
2005,251,1,0,"H2","TOTAL",1,,,475856799498,0
2005,251,1,156,"H2","TOTAL",1,,,25949320255,0
2006,251,1,0,"H2","TOTAL",1,,,529902263137,0
2006,251,1,156,"H2","TOTAL",1,,,30102974651,0
2002,276,1,0,"H2","TOTAL",1,,,490450056000,0
2002,276,1,156,"H2","TOTAL",1,,,20076230000,0
2003,276,1,0,"H2","TOTAL",1,,,601761022000,0
2003,276,1,156,"H2","TOTAL",1,,,28372814000,0
2004,276,1,0,"H2","TOTAL",1,,,718150018000,0
2004,276,1,156,"H2","TOTAL",1,,,40442316000,0
2005,276,1,0,"H2","TOTAL",1,,,779819058000,0
2005,276,1,156,"H2","TOTAL",1,,,50594705000,0
2006,276,1,0,"H2","TOTAL",1,,,922213393000,0
2006,276,1,156,"H2","TOTAL",1,,,62805681000,0
2002,381,1,0,"H2","TOTAL",1,,,246609477011,0
2002,381,1,156,"H2","TOTAL",1,,,7832903206,0
2003,381,1,0,"H2","TOTAL",1,,,297402799020,0
2003,381,1,156,"H2","TOTAL",1,,,10787435893,0
2004,381,1,0,"H2","TOTAL",1,,,355266852816,0
2004,381,1,156,"H2","TOTAL",1,,,14699243952,0
2005,381,1,0,"H2","TOTAL",1,,,384835560619,0
2005,381,1,156,"H2","TOTAL",1,,,17574867567,0
2006,381,1,0,"H2","TOTAL",1,,,442565102846,0
2006,381,1,156,"H2","TOTAL",1,,,22465431491,0
2002,826,1,0,"H2","TOTAL",1,,,372059498514,0
2002,826,1,156,"H2","TOTAL",1,,,19346004301,0
2003,826,1,0,"H2","TOTAL",1,,,425369491041,0
2003,826,1,156,"H2","TOTAL",1,,,23495430412,0
2004,826,1,0,"H2","TOTAL",1,,,502886191564,0
2004,826,1,156,"H2","TOTAL",1,,,30097197796,0
2005,826,1,0,"H2","TOTAL",1,,,528460952104,0
2005,826,1,156,"H2","TOTAL",1,,,36153931421,0
2006,826,1,0,"H2","TOTAL",1,,,614811651266,0
2006,826,1,156,"H2","TOTAL",1,,,41828379800,0
1996,251,1,0,"H1","TOTAL",1,,,274913755136,0
1996,251,1,156,"H1","TOTAL",1,,,6028262912,0
1996,276,1,0,"H1","TOTAL",1,0,0,458699728664,0
1996,276,1,156,"H1","TOTAL",1,0,0,11974005000,0
1996,381,1,0,"H1","TOTAL",1,,,208116039680,0
1996,381,1,156,"H1","TOTAL",1,,,4032505088,0
1996,826,1,0,"H1","TOTAL",1,,,282720141312,0
1996,826,1,156,"H1","TOTAL",1,,,3392356096,0
1997,251,1,0,"H1","TOTAL",1,,,266575347712,0
1997,251,1,156,"H1","TOTAL",1,,,6636796416,0
1997,276,1,0,"H1","TOTAL",1,,,445495672832,0
1997,276,1,156,"H1","TOTAL",1,,,12297624576,0
1997,381,1,0,"H1","TOTAL",1,,,208317104128,0
1997,381,1,156,"H1","TOTAL",1,,,4416954368,0
1997,826,1,0,"H1","TOTAL",1,0,0,305135405241,0
1997,826,1,156,"H1","TOTAL",1,0,0,4087274966,0
1998,251,1,0,"H1","TOTAL",1,,,286035836928,0
1998,251,1,156,"H1","TOTAL",1,,,7218627072,0
1998,276,1,0,"H1","TOTAL",1,,,471226318848,0
1998,276,1,156,"H1","TOTAL",1,,,13029130240,0
1998,381,1,0,"H1","TOTAL",1,,,215590076416,0
1998,381,1,156,"H1","TOTAL",1,,,4843814912,0
1998,826,1,0,"H1","TOTAL",1,0,0,311879512480,0
1998,826,1,156,"H1","TOTAL",1,0,0,4905629993,0
1999,251,1,0,"H1","TOTAL",1,,,286592827392,0
1999,251,1,156,"H1","TOTAL",1,,,8047127552,0
1999,276,1,0,"H1","TOTAL",1,,,473500680192,0
1999,276,1,156,"H1","TOTAL",1,,,14513387520,0
1999,381,1,0,"H1","TOTAL",1,,,220056096159,0
1999,381,1,156,"H1","TOTAL",1,,,5316570922,0
1999,826,1,0,"H1","TOTAL",1,,,315333083128,0
1999,826,1,156,"H1","TOTAL",1,,,5665577552,0
2000,251,1,0,"H1","TOTAL",1,,,303757850581,0
2000,251,1,156,"H1","TOTAL",1,,,9640062191,0
2000,276,1,0,"H1","TOTAL",1,,,500830026000,0
2000,276,1,156,"H1","TOTAL",1,,,16879234000,0
2000,381,1,0,"H1","TOTAL",1,,,238068541484,0
2000,381,1,156,"H1","TOTAL",1,,,6460578694,0
2000,826,1,0,"H1","TOTAL",1,,,374702690648,0
2000,826,1,156,"H1","TOTAL",1,,,15830692762,0
2001,251,1,0,"H1","TOTAL",1,,,293865640535,0
2001,251,1,156,"H1","TOTAL",1,,,9704763137,0
2001,276,1,0,"H1","TOTAL",1,,,486022068000,0
2001,276,1,156,"H1","TOTAL",1,,,17689098000,0
2001,381,1,0,"H1","TOTAL",1,,,236126622376,0
2001,381,1,156,"H1","TOTAL",1,,,6675752417,0
2001,826,1,0,"H1","TOTAL",1,,,358702944795,0
2001,826,1,156,"H1","TOTAL",1,,,16790045161,0
1994,251,1,0,"H0","TOTAL",1,,,228281548800,0
1994,251,1,156,"H0","TOTAL",1,,,4105525248,0
1995,251,1,0,"H0","TOTAL",1,,,273387339776,0
1995,251,1,156,"H0","TOTAL",1,,,5142212608,0
1991,276,1,0,"H0","TOTAL",1,0,0,388915818000,0
1991,276,1,156,"H0","TOTAL",1,0,0,6980814000,0
1992,276,1,0,"H0","TOTAL",1,0,0,408307127000,0
1992,276,1,156,"H0","TOTAL",1,0,0,7483266000,0
1993,276,1,0,"H0","TOTAL",1,0,0,342558712000,0
1993,276,1,156,"H0","TOTAL",1,0,0,8344413000,0
1994,276,1,0,"H0","TOTAL",1,0,0,381538916000,0
1994,276,1,156,"H0","TOTAL",1,0,0,9501712000,0
1995,276,1,0,"H0","TOTAL",1,0,0,464145333000,0
1995,276,1,156,"H0","TOTAL",1,0,0,11155796000,0
1988,280,1,0,"H0","TOTAL",1,0,0,250293231000,0
1988,280,1,156,"H0","TOTAL",1,0,0,2459845000,0
1989,280,1,0,"H0","TOTAL",1,0,0,269575910000,0
1989,280,1,156,"H0","TOTAL",1,0,0,3084352000,0
1990,280,1,0,"H0","TOTAL",1,0,0,342483041000,0
1990,280,1,156,"H0","TOTAL",1,0,0,4776858000,0
1994,381,1,0,"H0","TOTAL",1,,,167975026688,0
1994,381,1,156,"H0","TOTAL",1,,,3128267008,0
1995,381,1,0,"H0","TOTAL",1,,,200319909888,0
