Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
1988,251,1,0,"S3","TOTAL",1,,,177186275328,0
1988,251,1,156,"S3","TOTAL",1,,,1444455168,0
1989,251,1,0,"S3","TOTAL",1,,,190765514752,0
1989,251,1,156,"S3","TOTAL",1,,,1728368768,0
1990,251,1,0,"S3","TOTAL",1,,,233163128832,0
1990,251,1,156,"S3","TOTAL",1,,,2210509312,0
1991,251,1,0,"S3","TOTAL",1,,,230811271168,0
1991,251,1,156,"S3","TOTAL",1,,,3025317632,0
1992,251,1,0,"S3","TOTAL",1,,,238907523072,0
1992,251,1,156,"S3","TOTAL",1,,,3503385344,0
1993,251,1,0,"S3","TOTAL",1,,,200796635136,0
1993,251,1,156,"S3","TOTAL",1,,,3751723520,0
1988,381,1,0,"S3","TOTAL",1,,,138623008768,0
1988,381,1,156,"S3","TOTAL",1,,,1434594304,0
1989,381,1,0,"S3","TOTAL",1,,,152944640000,0
1989,381,1,156,"S3","TOTAL",1,,,1685685888,0
1990,381,1,0,"S3","TOTAL",1,,,180056604672,0
1990,381,1,156,"S3","TOTAL",1,,,1813359360,0
1991,381,1,0,"S3","TOTAL",1,,,182412951552,0
1991,381,1,156,"S3","TOTAL",1,,,2281268736,0
1992,381,1,0,"S3","TOTAL",1,,,188705882112,0
1992,381,1,156,"S3","TOTAL",1,,,2778901504,0
1993,381,1,0,"S3","TOTAL",1,,,147817463808,0
1993,381,1,156,"S3","TOTAL",1,,,2593676800,0
1988,826,1,0,"S3","TOTAL",1,,,189747523630,0
1988,826,1,156,"S3","TOTAL",1,,,782733847,0
1989,826,1,0,"S3","TOTAL",1,,,199195328512,0
1989,826,1,156,"S3","TOTAL",1,,,861176960,0
1990,826,1,0,"S3","TOTAL",1,,,224771489792,0
1990,826,1,156,"S3","TOTAL",1,,,1028193856,0
1991,826,1,0,"S3","TOTAL",1,,,204819693568,0
1991,826,1,156,"S3","TOTAL",1,,,1215283200,0
1992,826,1,0,"S3","TOTAL",1,0,0,221658145500,0
1992,826,1,156,"S3","TOTAL",1,0,0,1679251737,0
1978,251,1,0,"S2","TOTAL",1,,,82011652096,0
1978,251,1,156,"S2","TOTAL",1,,,225902048,0
1979,251,1,0,"S2","TOTAL",1,,,107013627904,0
1979,251,1,156,"S2","TOTAL",1,,,326548704,0
1980,251,1,0,"S2","TOTAL",1,,,134912311296,0
1980,251,1,156,"S2","TOTAL",1,,,467789504,0
1981,251,1,0,"S2","TOTAL",1,,,120985468928,0
1981,251,1,156,"S2","TOTAL",1,,,508455872,0
1982,251,1,0,"S2","TOTAL",1,,,115628679168,0
1982,251,1,156,"S2","TOTAL",1,,,436674912,0
1983,251,1,0,"S2","TOTAL",1,,,105427877888,0
1983,251,1,156,"S2","TOTAL",1,,,432326688,0
1984,251,1,0,"S2","TOTAL",1,,,103734132736,0
1984,251,1,156,"S2","TOTAL",1,,,439798912,0
1985,251,1,0,"S2","TOTAL",1,,,107781873664,0
1985,251,1,156,"S2","TOTAL",1,,,498591552,0
1986,251,1,0,"S2","TOTAL",1,,,128217374720,0
1986,251,1,156,"S2","TOTAL",1,,,706513280,0
1987,251,1,0,"S2","TOTAL",1,,,157914120192,0
1987,251,1,156,"S2","TOTAL",1,,,1101209216,0
1978,280,1,0,"S2","TOTAL",1,,,121308954624,0
1978,280,1,156,"S2","TOTAL",1,,,355720000,0
1979,280,1,0,"S2","TOTAL",1,,,158542086144,0
1979,280,1,156,"S2","TOTAL",1,,,513092992,0
1980,280,1,0,"S2","TOTAL",1,,,187469660160,0
1980,280,1,156,"S2","TOTAL",1,,,791393024,0
1981,280,1,0,"S2","TOTAL",1,,,163639869440,0
1981,280,1,156,"S2","TOTAL",1,,,751468032,0
1982,280,1,0,"S2","TOTAL",1,,,155155251200,0
1982,280,1,156,"S2","TOTAL",1,,,675608000,0
1983,280,1,0,"S2","TOTAL",1,,,152694734848,0
1983,280,1,156,"S2","TOTAL",1,,,748792000,0
1984,280,1,0,"S2","TOTAL",1,,,152872058880,0
1984,280,1,156,"S2","TOTAL",1,,,824145024,0
1985,280,1,0,"S2","TOTAL",1,,,158360780800,0
1985,280,1,156,"S2","TOTAL",1,,,833553984,0
1986,280,1,0,"S2","TOTAL",1,,,190635507712,0
1986,280,1,156,"S2","TOTAL",1,,,1158706048,0
1987,280,1,0,"S2","TOTAL",1,,,228219420672,0
1987,280,1,156,"S2","TOTAL",1,,,1836057984,0
1977,381,1,0,"S2","TOTAL",1,,,47580651520,0
1977,381,1,156,"S2","TOTAL",1,,,161360144,0
1978,381,1,0,"S2","TOTAL",1,,,56444436480,0
1978,381,1,156,"S2","TOTAL",1,,,199966576,0
1979,381,1,0,"S2","TOTAL",1,,,77969252352,0
1979,381,1,156,"S2","TOTAL",1,,,394946464,0
1980,381,1,0,"S2","TOTAL",1,,,99479068672,0
1980,381,1,156,"S2","TOTAL",1,,,436590080,0
1981,381,1,0,"S2","TOTAL",1,,,91065425920,0
1981,381,1,156,"S2","TOTAL",1,,,398736736,0
1982,381,1,0,"S2","TOTAL",1,,,86229204992,0
1982,381,1,156,"S2","TOTAL",1,,,427792704,0
1983,381,1,0,"S2","TOTAL",1,,,80366133248,0
1983,381,1,156,"S2","TOTAL",1,,,415052160,0
1984,381,1,0,"S2","TOTAL",1,,,84324253696,0
1984,381,1,156,"S2","TOTAL",1,,,434663648,0
1985,381,1,0,"S2","TOTAL",1,,,90961453056,0
1985,381,1,156,"S2","TOTAL",1,,,589486144,0
1986,381,1,0,"S2","TOTAL",1,,,102346448896,0
1986,381,1,156,"S2","TOTAL",1,,,681808896,0
1987,381,1,0,"S2","TOTAL",1,,,125075783680,0
1987,381,1,156,"S2","TOTAL",1,,,1024677056,0
1978,826,1,0,"S2","TOTAL",1,0,0,78431340115,0
1978,826,1,156,"S2","TOTAL",1,0,0,211973768,0
1979,826,1,0,"S2","TOTAL",1,0,0,102821503544,0
1979,826,1,156,"S2","TOTAL",1,0,0,292379219,0
1980,826,1,0,"S2","TOTAL",1,,,119208501248,0
