year,firms,ceos,in_wiw,employment
1985,2055,2051,89,447.6438690766976
1986,2254,2251,99,418.1396176078257
1987,2575,2572,115,374.7824892029839
1988,2969,2963,133,337.9409448818898
1989,6209,6140,332,245.6059618071728
1990,16791,16369,1008,83.60991511871079
1991,32458,31232,2026,45.41402237277454
1992,84118,79962,4438,20.56414371694328
1993,107469,101970,5535,16.5044973147557
1994,137447,129653,6922,14.70675409644109
1995,155842,146273,7908,12.86766819409266
1996,178964,167240,9204,11.41629588899674
1997,200649,186692,10344,10.39067715307897
1998,232892,214541,12132,9.457570085414918
1999,241556,222410,13003,9.082258835262097
2000,261078,239831,14273,8.587096600874247
2001,284192,260349,15598,8.082949162578243
2002,283267,258233,15736,8.008383779808209
2003,286036,259673,15816,7.942793597422157
2004,302312,272639,16591,7.730370247660068
2005,309078,277128,16941,8.941183388805909
2006,318678,284076,17296,8.791153171472944
2007,324668,286667,17717,8.535279144625122
2008,337920,294036,18685,7.751006477012954
2009,347163,298473,19142,7.236458773949962
2010,360806,306923,19686,7.067970165478923
2011,373624,315235,20017,7.113616728191062
2012,379319,316140,19632,6.965323358857078
2013,411963,336419,21244,7.073508514174233
2014,413236,336185,21075,7.227043188375466
2015,414023,335763,20604,10.52657948184906
2016,409671,331850,20042,6.876336824333237
2017,402949,324600,19509,7.154773020680248
2018,399898,320454,19090,7.439562612787066
2019,389188,311191,18366,7.366834242258036
