year,firms,ceos,in_wiw,employment
1985,20528,16690,715,622.1742043551088
1986,21897,17653,746,554.3066061522945
1987,23431,18699,797,487.0959337349398
1988,25146,19928,856,439.7411188811189
1989,34353,25333,1138,317.679823269514
1990,61996,49075,2221,114.9021599090565
1991,95118,78535,3739,59.72744988864142
1992,146949,117470,5681,22.76981220064316
1993,179147,147014,7022,16.78421357732621
1994,211697,175045,8248,13.39793942356502
1995,236672,197487,9393,11.80082192088871
1996,269004,223046,10769,10.30183473245723
1997,296757,248390,12050,9.463416470004827
1998,323711,274452,13647,8.832984467963948
1999,342147,290679,14717,8.573490618826296
2000,366033,307816,15976,8.057965296931187
2001,387988,327040,17156,7.594411562195938
2002,405273,342190,18275,7.544960413237657
2003,424000,355325,19095,7.456457072520259
2004,437091,369931,20128,7.429599970156306
2005,454705,381202,20788,8.651442092711283
2006,469356,391384,21273,8.52960922859185
2007,480586,393955,22019,8.252738003592507
2008,505160,403218,23324,7.358234510936149
2009,525309,412287,24186,6.93066775234759
2010,535433,416923,24653,6.738156629912355
2011,546508,417185,24788,6.78557692036158
2012,540677,415913,24490,6.775156570819838
2013,557673,421170,24336,6.957853929136001
2014,553990,424339,24016,7.111262464853914
2015,553689,422874,23489,10.49453057302436
2016,538606,412528,22822,6.800744580462519
2017,527857,404345,22303,7.023216460280558
2018,523117,399210,21830,7.298521738433465
2019,516684,396085,21302,7.274658188839695
